"Name","Team","POS","PTS","PTS/G","GP","CMP","YDS","TD","INT","ATT","YDS","TD","FUM","TGT","REC","YDS","TD"
"KhaDarel Hodge","ATL","WR","6.1","0.5","12","0","0","0","0","0","0","0","0","10","3","31","0"
"Jalen Brooks","DAL","WR","6.1","1","6","0","0","0","0","0","0","0","1","6","3","51","0"
"Justin Watson","HOU","WR","6","2","3","0","0","0","0","0","0","0","0","4","3","30","0"
"Ben Sims","GB","TE","6","0.5","11","0","0","0","0","0","0","0","0","6","3","30","0"
"James Mitchell","CAR","TE","5.8","1.2","5","0","0","0","0","0","0","0","0","3","3","28","0"
"Tai Felton","MIN","WR","5.5","0.3","17","0","0","0","0","0","0","0","0","3","3","25","0"
"Tyler Goodson","IND","RB","5.2","0.5","11","0","0","0","0","9","24","0","0","3","2","8","0"
"Trent Sherfield Sr.","DEN","WR","5.1","0.4","12","0","0","0","0","0","0","0","0","5","3","21","0"
"Shane Zylstra","DET","TE","5","0.8","6","0","0","0","0","0","0","0","0","5","3","20","0"
"Kene Nwangwu","NYJ","RB","4.9","0.4","12","0","0","0","0","13","49","0","0","1","0","0","0"
"Reggie Gilliam","BUF","RB","4.8","0.3","17","0","0","0","0","2","4","0","0","2","2","24","0"
"Tip Reiman","ARI","TE","4.8","1.2","4","0","0","0","0","0","0","0","0","5","3","18","0"
"Aidan O'Connell","LV","QB","4.8","4.8","1","10","102","0","0","1","7","0","0","0","0","0","0"
"Tahj Washington","MIA","WR","4.7","0.8","6","0","0","0","0","0","0","0","1","5","3","37","0"
"Devin Duvernay","CHI","WR","4.6","0.3","17","0","0","0","0","0","0","0","0","5","2","26","0"
"Ronnie Rivers","LAR","RB","4.6","0.4","11","0","0","0","0","9","46","0","0","0","0","0","0"
"Jordan Watkins","SF","WR","4.6","1.1","4","0","0","0","0","0","0","0","0","3","2","26","0"
"Beaux Collins","NYG","WR","4.5","0.5","9","0","0","0","0","0","0","0","0","6","2","25","0"
"Bo Melton","GB","WR","4.4","1.5","3","0","0","0","0","0","0","0","0","4","1","34","0"
"Tay Martin","WAS","WR","4.3","1.4","3","0","0","0","0","0","0","0","0","2","2","23","0"
